binary	bytes	sha256
lay	6160616	3be3d7b236605e8ba4e8a7087aa35ed0bd34a1b5d3ba275fc495cb2fe7382e3d
lay-daemon	8214384	9127b0ca1bc6513f4b15ccc1bb52dc48de8b7f009c8d7c4d819f40be3553a746
lay-nanda-wave-eval	6603760	26fbe161547c07a90865e913e76c7e537c70d9f83af6258cbf395463fd646968
lay-nanda-wave-train	10762864	b7d976bf978802013ffad6e302ed6b12adc873726345f9d185c844c203ea9d50
lay-test-input	1782280	8121b51e287ca1d93baa521935edb20394f7cf0e0865bf907933dd1600f2fb3f
lay-ngram-corpus	787360	02cb9eea55dbc00879b176ba3b97725557dbfa628802eaa22edb6f498b4437c1
lay-ibus-engine	6272592	378b393367dd4987fdd12c6a8c2ebe82ee3d27301bcc88b8ced73957459fa76b
lay-memory-report	643112	c88596cab58909330a9e87eb5e2bff1aa63883eb926666bc75fbf82571f55d86
lay-l11-restore	1954008	1b976038dd937acef333f8f90b0f903447eae76c71bb07dc065dbaad95a7b10d
lay-l11-serve	2165952	a355ed70cee1e14b7550105e25d534ec10cb72f167157f53151ef253ad49b037
