# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu_atom/cycles/P'
# Event count (approx.): 17014286261
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                            IPC   [IPC Coverage]
# ........  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    21.58%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV116add_simhash_atom                                                                                                                                                                                                                                                                                                                                 -      -            
    10.64%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV114add_typed_atom                                                                                                                                                                                                                                                                                                                                   -      -            
     7.14%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV143derive_cold_lemma_bindings_with_diagnostics                                                                                                                                                                                                                                                                                       -      -            
     6.48%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records26MorphProgramHeaderRecordV1EBe_                                                                                                                                                                                                                                                                                            -      -            
     6.14%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records15MorphOpRecordV1EBe_                                                                                                                                                                                                                                                                                                       -      -            
     4.14%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV117terminal_evidence                                                                                                                                                                                                                                                                                                                                -      -            
     3.95%  [.] _RNvMs0_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_9OsaLaneV14emit                                                                                                                                                                                                                                                                                                                                                           -      -            
     3.66%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV129execute_packaged_program_into                                                                                                                                                                                                                                                                                                     -      -            
     3.39%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV119append_simhash_unit                                                                                                                                                                                                                                                                                                                              -      -            
     3.30%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV117append_typed_unit                                                                                                                                                                                                                                                                                                                                -      -            
