# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu_atom/cycles/P'
# Event count (approx.): 12521390022
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                          
# ........  ...............  ....................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    10.25%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV143derive_cold_lemma_bindings_with_diagnostics
    10.05%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RINvNtNtNtNtCscI6d9CVNmLh_4core5slice4sort8unstable9quicksort9quicksortjNvYjNtNtBa_3cmp10PartialOrd2ltECsiTbic97zBM6_3lay
     7.97%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records15MorphOpRecordV1EBe_
     7.94%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records26MorphProgramHeaderRecordV1EBe_
     7.90%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometry13batch_simhash
     6.38%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV116traverse_binding
     5.01%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RNvMs0_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_9OsaLaneV14emit
     4.22%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometry25append_atom_family_reused
     3.92%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV129execute_packaged_program_into
     3.54%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV135paradigm_reconstructs_exposed_forms
     3.25%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records24SlotPhaseProfileRecordV1EBe_
     2.61%  lay-nanda-wave-  libc.so.6             [.] __memmove_avx_unaligned_erms
     2.29%  lay-nanda-wave-  lay-nanda-wave-train  [.] _RNvMs_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v17recordsNtB4_15MorphOpRecordV18validate
     2.13%  lay-nanda-wave-  libc.so.6             [.] _int_malloc
