# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu_atom/cycles/P'
# Event count (approx.): 26096429668
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ......................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    18.33%  [.] _RNvMs1_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV116add_simhash_atom                                                                                                                                                                                                                                                                                                       -      -            
    11.88%  [.] _RNvMs1_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV114add_typed_atom                                                                                                                                                                                                                                                                                                         -      -            
     5.45%  [.] _RNvMs1_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV117terminal_evidence                                                                                                                                                                                                                                                                                                      -      -            
     5.08%  [.] _RNvMs3_NtNtNtNtCs40k4W9msRzi_5alloc11collections5btree3map5entryINtB5_5EntryymE10or_defaultCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                      -      -            
     4.59%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV143derive_cold_lemma_bindings_with_diagnostics                                                                                                                                                                                                                                                             -      -            
     4.35%  [.] _RNvMs1_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV119append_simhash_unit                                                                                                                                                                                                                                                                                                    -      -            
     4.11%  [.] __memmove_avx_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     4.05%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records26MorphProgramHeaderRecordV1EBe_                                                                                                                                                                                                                                                                  -      -            
     3.57%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records15MorphOpRecordV1EBe_                                                                                                                                                                                                                                                                             -      -            
     3.54%  [.] _RNvMs1_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV117append_typed_unit                                                                                                                                                                                                                                                                                                      -      -            
     3.28%  [.] _RNvMs_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB4_9OsaLaneV14emit                                                                                                                                                                                                                                                                                                                                  -      -            
     2.74%  [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     2.60%  [.] _RINvMsi_NtNtNtCs40k4W9msRzi_5alloc11collections5btree3mapINtB6_8BTreeMapymE6removeyECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                             -      -            
     2.34%  [.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     2.12%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional14typed_atom_key                                                                                                                                                                                                                                                                                                                                                    -      -            
     2.07%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV129execute_packaged_program_into                                                                                                                                                                                                                                                                           -      -            
     1.65%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     1.46%  [.] _RINvNtCscI6d9CVNmLh_4core3ptr9drop_glueINtNtNtNtCs40k4W9msRzi_5alloc11collections5btree3map8BTreeMapTmhEmEECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                      -      -            
     1.41%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records24SlotPhaseProfileRecordV1EBe_                                                                                                                                                                                                                                                                    -      -            
     1.12%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional9hash_atom                                                                                                                                                                                                                                                                                                                                                          -      -            
