name	built_sha256	installed_sha256	installed_bytes	installed_mode
lay	9049e1b1ac2e8544ecc43d8e416d3d3e8d8b0ef69e329494873553bfc0834b95	9049e1b1ac2e8544ecc43d8e416d3d3e8d8b0ef69e329494873553bfc0834b95	6796768	755
lay-daemon	3dcb9b3ed9fb6a8063afb77cea3b40b3e6ae269c02911c7853918c8f0297823f	3dcb9b3ed9fb6a8063afb77cea3b40b3e6ae269c02911c7853918c8f0297823f	8960120	755
lay-nanda-wave-eval	741c5136b248c10d5e348b524bfa48f027a3ce3144ff3f0f6080782c5b55840d	741c5136b248c10d5e348b524bfa48f027a3ce3144ff3f0f6080782c5b55840d	7213840	755
lay-nanda-wave-train	a2611dc44afcc9ccdbacda031a0c1ff3d890d2823a40139c406e99682905483b	a2611dc44afcc9ccdbacda031a0c1ff3d890d2823a40139c406e99682905483b	11852048	755
lay-test-input	28d3afd19302b97ec07cb9e5696182e7fe2a4803fa9ce4188af8ae3b5991f189	28d3afd19302b97ec07cb9e5696182e7fe2a4803fa9ce4188af8ae3b5991f189	1839840	755
lay-ngram-corpus	c962b24baf4643d0b0fee9dc2604396d9f5b5649ec22d381fa4a89f395057c38	c962b24baf4643d0b0fee9dc2604396d9f5b5649ec22d381fa4a89f395057c38	789800	755
lay-ibus-engine	b4bbdfff9fa9d2a4cd4066497413466443c56afbf6296f78030bc9087263ba55	b4bbdfff9fa9d2a4cd4066497413466443c56afbf6296f78030bc9087263ba55	7219512	755
lay-memory-report	93a67c0d11bd7c0d425e25395779fa6351bdf81cc55c2c66e36ac87bc37320c6	93a67c0d11bd7c0d425e25395779fa6351bdf81cc55c2c66e36ac87bc37320c6	644376	755
lay-l1.1-restore	23cc1be0041d0b20b777285b624d2ce1394a12c58cb0c57c446bec89e18df7a4	23cc1be0041d0b20b777285b624d2ce1394a12c58cb0c57c446bec89e18df7a4	1948024	755
lay-l1.1-serve	d4c327c5f010f4a6e78ba0039ac1ba5ae43b5bf13346893f1e5ddfdcde0b4f0d	d4c327c5f010f4a6e78ba0039ac1ba5ae43b5bf13346893f1e5ddfdcde0b4f0d	2159728	755
